municipio,ano,crimes_total,desigualdade,sus_value_x,sus_value_y,saude_score,educacao_score,rh_score,legislacao_score
ABADIANIA,2022,30.0,0.6257,1738420.0,,0.3581081081081081,0.2227979274611398,0.5,0.0212765957446808
ABADIANIA,2023,25.0,0.6106,,1413507.0,0.3581081081081081,0.2227979274611398,0.5,0.0212765957446808
AGUA FRIA DE GOIAS,2022,5.0,0.5989,91422.0,,0.2567567567567567,0.2435233160621761,0.5,0.0212765957446808
AGUA FRIA DE GOIAS,2023,10.0,0.6883,,90894.0,0.2567567567567567,0.2435233160621761,0.5,0.0212765957446808
AGUAS CLARAS,2022,31.0,,,,,,,
AGUAS CLARAS,2023,22.0,,,,,,,
AGUAS LINDAS DE GOIAS,2022,184.0,0.5097,2139501.0,,0.3108108108108108,0.3056994818652849,0.5,0.0425531914893617
AGUAS LINDAS DE GOIAS,2023,138.0,0.5487,,1860138.0,0.3108108108108108,0.3056994818652849,0.5,0.0425531914893617
ALEXANIA,2022,32.0,0.6163,189211.0,,0.3175675675675675,0.2020725388601036,0.5,0.0212765957446808
ALEXANIA,2023,35.0,0.6801,,154202.0,0.3175675675675675,0.2020725388601036,0.5,0.0212765957446808
ALTO PARAISO DE GOIAS,2022,12.0,0.628,258841.0,,0.2905405405405405,0.1865284974093264,0.5,0.0212765957446808
ALTO PARAISO DE GOIAS,2023,6.0,0.6685,,314482.0,0.2905405405405405,0.1865284974093264,0.5,0.0212765957446808
ALVORADA DO NORTE,2022,10.0,0.5738,86678.0,,0.2837837837837837,0.2279792746113989,0.5,0.0212765957446808
ALVORADA DO NORTE,2023,14.0,0.6386,,86209.0,0.2837837837837837,0.2279792746113989,0.5,0.0212765957446808
ARINOS,2022,25.0,0.6008,202970.0,,0.2837837837837837,0.2797927461139896,0.5,0.0
ARINOS,2023,10.0,0.6959,,297986.0,0.2837837837837837,0.2797927461139896,0.5,0.0
ARNIQUEIRA,2022,7.0,,,,,,,
ARNIQUEIRA,2023,9.0,,,,,,,
BARRO ALTO,2022,8.0,0.3639,93802.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.3639,93802.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.3639,102863.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.3639,102863.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.6556,93802.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.6556,93802.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2022,8.0,0.6556,102863.0,,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2022,8.0,0.6556,102863.0,,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.389,,132906.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.389,,132906.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.389,,144987.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.389,,144987.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.7014,,132906.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.7014,,132906.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BARRO ALTO,2023,7.0,0.7014,,144987.0,0.25,0.2797927461139896,0.5,0.0
BARRO ALTO,2023,7.0,0.7014,,144987.0,0.2702702702702703,0.310880829015544,0.5,0.0212765957446808
BRASILIA/PLANO PILOTO,2022,84.0,,,,,,,
BRASILIA/PLANO PILOTO,2023,94.0,,,,,,,
BRAZLANDIA,2022,52.0,,,,,,,
BRAZLANDIA,2023,50.0,,,,,,,
BURITIS,2022,19.0,0.6354,693294.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.6354,693294.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.6354,676034.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.6354,676034.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.5589,693294.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.5589,693294.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2022,19.0,0.5589,676034.0,,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2022,19.0,0.5589,676034.0,,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.6125,,795933.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.6125,,795933.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.6125,,793573.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.6125,,793573.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.5954,,795933.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.5954,,795933.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
BURITIS,2023,23.0,0.5954,,793573.0,0.3445945945945945,0.3419689119170984,0.5,0.0425531914893617
BURITIS,2023,23.0,0.5954,,793573.0,0.277027027027027,0.310880829015544,0.5,0.0212765957446808
CABECEIRA GRANDE,2022,1.0,0.6408,14569.0,,0.2972972972972973,0.2642487046632124,0.5,0.0
CABECEIRA GRANDE,2023,2.0,0.5908,,34021.0,0.2972972972972973,0.2642487046632124,0.5,0.0
CABECEIRAS,2022,1.0,0.5851,256059.0,,0.2905405405405405,0.3056994818652849,0.5,0.0425531914893617
CABECEIRAS,2023,8.0,0.6474,,202403.0,0.2905405405405405,0.3056994818652849,0.5,0.0425531914893617
CANDANGOLANDIA,2022,6.0,,,,,,,
CANDANGOLANDIA,2023,7.0,,,,,,,
CAVALCANTE,2022,9.0,0.4488,163382.0,,0.3581081081081081,0.1865284974093264,0.5,0.0212765957446808
CAVALCANTE,2023,14.0,0.4297,,179466.0,0.3581081081081081,0.1865284974093264,0.5,0.0212765957446808
CEILANDIA,2022,184.0,,,,,,,
CEILANDIA,2023,181.0,,,,,,,
CIDADE OCIDENTAL,2022,66.0,0.557,1972411.0,,0.3445945945945945,0.3989637305699481,0.5,0.0212765957446808
CIDADE OCIDENTAL,2023,55.0,0.5933,,1901611.0,0.3445945945945945,0.3989637305699481,0.5,0.0212765957446808
COCALZINHO DE GOIAS,2022,19.0,0.5434,56070.0,,0.2837837837837837,0.1658031088082901,0.5,0.0212765957446808
COCALZINHO DE GOIAS,2023,22.0,0.583,,58355.0,0.2837837837837837,0.1658031088082901,0.5,0.0212765957446808
CORUMBA DE GOIAS,2022,21.0,0.6077,40403.0,,0.3648648648648648,0.2020725388601036,0.5,0.0212765957446808
CORUMBA DE GOIAS,2023,7.0,0.5656,,41951.0,0.3648648648648648,0.2020725388601036,0.5,0.0212765957446808
CRISTALINA,2022,101.0,0.7018,413728.0,,0.3851351351351351,0.3523316062176165,0.5,0.0425531914893617
CRISTALINA,2023,83.0,0.7436,,492125.0,0.3851351351351351,0.3523316062176165,0.5,0.0425531914893617
FERCAL,2022,15.0,,,,,,,
FERCAL,2023,8.0,,,,,,,
FLORES DE GOIAS,2022,13.0,0.4717,215278.0,,0.2567567567567567,0.3212435233160621,0.5,0.0212765957446808
FLORES DE GOIAS,2023,16.0,0.4943,,195859.0,0.2567567567567567,0.3212435233160621,0.5,0.0212765957446808
FORMOSA,2022,74.0,0.6751,1151101.0,,0.2702702702702703,0.3678756476683937,0.5,0.0425531914893617
